Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.105	0.07	0.1515	0.2241	0.1271	0.9479	0.0639	0.8113	0.0333	
0.105	0.075	0.1508	0.2163	0.1228	0.9062	0.0735	0.7353	0.0387	
0.105	0.08	0.1529	0.2028	0.1154	0.8333	0.0963	0.6768	0.0518	
0.105	0.085	0.1805	0.203	0.1161	0.8073	0.1566	0.7533	0.0874	
0.105	0.09	0.2316	0.206	0.1189	0.7708	0.2557	0.8167	0.1516	
0.105	0.095	0.4337	0.2511	0.1515	0.7344	0.5447	0.9079	0.389	
0.105	0.1	0.6148	0.3125	0.2031	0.6771	0.7325	0.9266	0.6056	
0.105	0.105	0.697	0.344	0.2389	0.6146	0.803	0.9253	0.7092	
0.105	0.11	0.7178	0.3484	0.2483	0.5833	0.8199	0.9226	0.7378	
0.105	0.115	0.7219	0.3434	0.2471	0.5625	0.8236	0.9198	0.7456	
0.105	0.12	0.7199	0.3269	0.2371	0.526	0.8231	0.9141	0.7486	
0.105	0.125	0.7178	0.3165	0.2304	0.5052	0.8222	0.9107	0.7494	
0.105	0.13	0.7152	0.3054	0.223	0.4844	0.8208	0.9073	0.7494	
0.105	0.135	0.7152	0.3054	0.223	0.4844	0.8208	0.9073	0.7494	
