Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.5	128	20	0.0005	4	8	4	1.66	6.95	1293.0	
MLP	8	0.5	128	20	0.0005	4	24	1	1.01	6.85	1327.07	
MLP	8	0.5	128	20	0.0005	4	24	2	1.17	6.71	1397.73	
MLP	8	0.5	128	20	0.0005	4	24	4	1.17	7.31	1171.94	
MLP	8	0.5	128	20	0.0005	4	48	1	0.96	7.43	1140.57	
MLP	8	0.5	128	20	0.0005	4	48	2	1.0	6.83	1340.56	
MLP	8	0.5	128	20	0.0005	4	48	4	0.97	6.79	1369.18	
MLP	8	0.5	128	20	0.0005	8	8	1	1.31	7.04	1262.71	
MLP	8	0.5	128	20	0.0005	8	8	2	1.39	6.98	1281.54	
MLP	8	0.5	128	20	0.0005	8	8	4	1.51	6.89	1317.22	
MLP	8	0.5	128	20	0.0005	8	24	1	1.03	6.78	1369.71	
MLP	8	0.5	128	20	0.0005	8	24	2	1.08	6.77	1374.3	
MLP	8	0.5	128	20	0.0005	8	24	4	1.08	6.92	1309.07	
MLP	8	0.5	128	20	0.0005	8	48	1	0.97	6.84	1340.45	
MLP	8	0.5	128	20	0.0005	8	48	2	0.96	7.13	1240.32	
MLP	8	0.5	128	20	0.0005	8	48	4	1.0	6.55	1465.32	
MLP	8	0.5	128	20	0.0005	16	8	1	1.27	7.18	1208.75	
MLP	8	0.5	128	20	0.0005	16	8	2	1.54	6.89	1317.09	
MLP	8	0.5	128	20	0.0005	16	8	4	1.72	6.53	1476.54	
MLP	8	0.5	128	20	0.0005	16	24	1	1.03	6.45	1506.53	
MLP	8	0.5	128	20	0.0005	16	24	2	1.05	6.86	1323.82	
MLP	8	0.5	128	20	0.0005	16	24	4	1.06	6.85	1341.53	
MLP	8	0.5	128	20	0.0005	16	48	1	0.96	6.73	1384.96	
MLP	8	0.5	128	20	0.0005	16	48	2	0.97	6.78	1364.21	
MLP	8	0.5	128	20	0.0005	16	48	4	0.99	6.5	1483.59	
